Posição no depósito;Corr.pos.dep.;Col.posição depósito;Nível pos.dep.;Subdiv.pos.dep.;Tipo de depósito;Área armazmto.;Tp.posição depósito
001-099-050-001;001;099;050;001;0010;GERL;P160
001-099-060-001;001;099;060;001;0010;GERL;P200
001-100-010-001;001;100;010;001;0010;GERL;P160
001-100-020-001;001;100;020;001;0010;GERL;P160
001-100-030-001;001;100;030;001;0010;GERL;P160
001-100-040-001;001;100;040;001;0010;GERL;P160
001-100-050-001;001;100;050;001;0010;GERL;P160
001-100-060-001;001;100;060;001;0010;GERL;P200
001-101-010-001;001;101;010;001;0010;GERL;P160
001-101-020-001;001;101;020;001;0010;GERL;P160
001-101-030-001;001;101;030;001;0010;GERL;P160
001-101-040-001;001;101;040;001;0010;GERL;P160
001-101-050-001;001;101;050;001;0010;GERL;P160
001-101-060-001;001;101;060;001;0010;GERL;P200
001-102-010-001;001;102;010;001;0010;GERL;P160
001-102-020-001;001;102;020;001;0010;GERL;P160
001-102-030-001;001;102;030;001;0010;GERL;P160
001-102-040-001;001;102;040;001;0010;GERL;P160
001-102-050-001;001;102;050;001;0010;GERL;P160
001-102-060-001;001;102;060;001;0010;GERL;P200
001-103-010-001;001;103;010;001;0010;GERL;P160
001-103-020-001;001;103;020;001;0010;GERL;P160
001-103-030-001;001;103;030;001;0010;GERL;P160
001-103-040-001;001;103;040;001;0010;GERL;P160
001-103-050-001;001;103;050;001;0010;GERL;P160
001-103-060-001;001;103;060;001;0010;GERL;P200
001-104-010-001;001;104;010;001;0010;GERL;P160
001-104-020-001;001;104;020;001;0010;GERL;P160
001-104-030-001;001;104;030;001;0010;GERL;P160
001-104-040-001;001;104;040;001;0010;GERL;P160
001-104-050-001;001;104;050;001;0010;GERL;P160
001-104-060-001;001;104;060;001;0010;GERL;P200
001-105-010-001;001;105;010;001;0010;GERL;P160
001-105-020-001;001;105;020;001;0010;GERL;P160
001-105-030-001;001;105;030;001;0010;GERL;P160
001-105-040-001;001;105;040;001;0010;GERL;P160
001-105-050-001;001;105;050;001;0010;GERL;P160
001-105-060-001;001;105;060;001;0010;GERL;P200
001-106-010-001;001;106;010;001;0010;GERL;P160
001-106-020-001;001;106;020;001;0010;GERL;P160
001-106-030-001;001;106;030;001;0010;GERL;P160
001-106-040-001;001;106;040;001;0010;GERL;P160
001-106-050-001;001;106;050;001;0010;GERL;P160
001-106-060-001;001;106;060;001;0010;GERL;P200
001-107-010-001;001;107;010;001;0010;GERL;P160
001-107-020-001;001;107;020;001;0010;GERL;P160
001-107-030-001;001;107;030;001;0010;GERL;P160
001-107-040-001;001;107;040;001;0010;GERL;P160
001-107-050-001;001;107;050;001;0010;GERL;P160
001-107-060-001;001;107;060;001;0010;GERL;P200
001-108-010-001;001;108;010;001;0010;GERL;P160
001-108-020-001;001;108;020;001;0010;GERL;P160
001-108-030-001;001;108;030;001;0010;GERL;P160
001-108-040-001;001;108;040;001;0010;GERL;P160
001-108-050-001;001;108;050;001;0010;GERL;P160
001-108-060-001;001;108;060;001;0010;GERL;P200
001-109-010-001;001;109;010;001;0010;GERL;P160
001-109-020-001;001;109;020;001;0010;GERL;P160
